,Company Name,Job Role,Salary,Job Decription,Department,Required Exp,posted_date,web_link
0,SBICAP Securities Limited.,Equity Derivative Dealer,Rs 1.0  - 3.5 Lakh/Yr,"Description: Profile - Equity Dealer | Equity Derivatives Trading | A Leading BankScope of the Role - An equity trader buys, holds or sells various equity products on stock exchanges. These products may include stocks, preferred stocks, equity options and financial futures.Responsibility - 1) An equity trader buys, holds or sells various equity products on stock exchanges. These products may include stocks, preferred stocks, equity options and financial futures.2) Research and identify trading strategies and methods leading to greater profit and income for clients.3) Increase computer usage to access data and generate reports using software.4) Evaluate financial risks and decide on trading based on available data.5) Attain thorough knowledge about stock market terms and trading practices.6) Ensure all trading transactions are legitimate and comply with government laws and policies to avoid law suits and other penalties.7) May have to cross sell other products as well.Ideal Candidate - Candidates experienced as Equity dealer with required certifications.",Equity Research,0 to 5 Yrs," Oct 28, 2020
                                ",https://www.shine.com/jobs/equity-derivative-dealer/sbicap-securities-limited/11066293/
1,Aditya Birla Management Corporation Pvt. Ltd.,BM-Branch manager,Rs 8  - 9 Lakh/Yr,"1) Job PurposeThe purpose of this job is to manage a team of Agency Managers, ensure advisor recruitment asper plan, and assist the Branch Head to make the branch a profit centre and to achieve annualbusiness targets.
2) Dimensions What are the areas (in quantitative terms) the job has an impact on Dimension Remarks1. Manpower (Nos.) 8 to 10 AMs2. Annualised Premium (in Cr) 50 Lac to 1.5 Cr3. Policies (Nos) 100 to 5004. Net Annualised Advisor Commission (NAAC) (in Cr) 10 Lac to 30 Lac5. Persistency 85% 13 month Rolling Premium Persistency6. Sales Progression Maintain 30% of sales progression in the team7. Licensing Create distribution as defined in the targets
3) Job Context & Major Challenges (What are the specific aspects of the job that provide a challenge to the jobholder in the context of the Unit/Zone 
Key Challenges for the role –· Unavailability of Quality Manpower in terms of Agency Managers and advisors,Retention of Quality Manpower· Licensing of Advisors – Pass Percentage is very low, getting examination dates forOnline Examination is very difficult.· Fluctuating market condition· Delay in completion of business during month end as it involves the long process toissue the policy (starting from policy receipting, scanning, completing requirement,medical follow ups and finally the completion).· Infrastructure constraints· Ensuring that business is carried out as per the compliance & regulatory environment
4) Principal AccountabilitiesAccountability Supporting Actions
Ensure performance of assigned AgencyManagers with respect to recruitment ofAdvisors & achievement of business targets. 1. Recruit quality resource 2. Ensure performance standards of recruitment , activisation , policies & premium are met by the assigned agency managers 3. Maintain the profitability: Of the advisor Of the Branch. 4. Keep track on Advisors Contest and Clubs 5. Keep track on various training needs. 6. Sharing good sales practices. 7. Provide support to AM by participating in sales/recruitment. 8. Be responsible for the market conduct of the assigned agency managers and the advisors in their team 9. Maintain the Sales Report on Introduction and Issued Business 10. Develop the Agency Manager’s (goal sheets). 11. Carry out goal setting exercise with his team enabling the FLS team to deliver the expected productivity & subsequently leading the team to progress to next progression level.Manage persistency and business health forthe allotted branch so that functional goals areachieved. 1. Manage sales force attrition as per bench mark. 2. Maintain quality of business for better persistency.Relationship Management (Internal &External) to drive performance. 1. Maintain healthy & cordial relation with team of Agency Managers as well as all concerned departments. 2. Maintain one to one contact with all advisors. 3. Ensure reaching of communication to the advisors of his team about new product, schemes, clubs, etc. (using FLS as key point of contact). 4. Visit top advisors in regular intervals.Drive local sales promotion effort for to support team members in achieving business targets 1. Anticipate sales promotion opportunities in the area of operation and devise innovative promotional activity. 2. Driving various contestsEnsure Risk Management as per companypolicy. 1. Carrying out the business activities as per the compliance & regulatory environment. 2. Ensure (by doing basic screening & basic sanity checks) the applications that healthy business is introduced in the system. 3. Be responsible for the market conduct of the assigned agency managers and the advisors in their teamManage administrative responsibilities of thebranch in the absence of the Branch Head. 1. Assist the Branch Head in carrying out the branch administrative responsibilities / in the absence of Branch Head 2. Monitor operational costs 3. Facilitate in resolving any people or client related issues.Team Management 1. Ensure through continuous on the job training, skill enhancement of team 2. Mentor, supervise and coach the team. 3. Provide for on the job as well as classroom training for skill enhancement 4. Ensure periodic job rotation to give a higher exposure to the team members on all aspects.
6) Relationships (If Applicable)Internal Frequency NatureSupport staff of branchOperationsAccounts HO Frequency: Daily Need based Need based Nature: To manage branch related issues, MIS. To manage policy, customer related issues Commission pay out",Sales / BD,7 to 10 Yrs," Oct 06, 2020
                                ",https://www.shine.com/jobs/bm-branch-manager/aditya-birla-management-corporation-pvt-ltd/11029535/
2,Aditya Birla Management Corporation Pvt. Ltd.,DeputyMngr HDFC Branch Banking,Rs 7  - 9 Lakh/Yr,"1) Job Purpose
To derive Insurance Business from assigned Relationship/Channel partner in an area or zone, toconvince the relationship so they can convince their customer to invest in Birla Sunlife Insurance.To ensure all the pre and post sales support and services to the relationship as well as to theclients along with the team dedicated to the relationship. Ensure not only achieving the target butalso to make sure there is a consistent growth in the business every quarter.
2) Dimensions What are the areas (in quantitative terms) the job has an impact on Dimension Remarks1. Manpower (Nos.) 10-11 depending Branch Spread2. Business Impact Xxx
a.Target - (Individual ) Annualized Premium (AVG)– 5- 10 Cr Complete accountability of the Sales Target of the Vertical which has a direct impact on the Relationship’s top-line target.
b. Customer Complaints 0 Customer Complaints At HDFC Customer Complaints are critical and hence every vertical head will look personally
c.Persistency 80% Premium Persistency 80% Policy Persistency Drive 13 month Rolling Premium Persistency
3) Job Context & Major Challenges (What are the specific aspects of the job that provide a challenge to the jobholder in the context of the Unit/Zone 
Key Challenges for the role –·
Market Volatility as BSLI predominantly sell unit linked policies·
High dependency on HDFC Branch Banking Model in Open Architecture who may have theirown priorities so alignment is the key.·
Balancing between the process requirement and expectations of the Channel partners
4) Principal AccountabilitiesAccountability Supporting Actions
Achieve Targets (Premium & Revenue) in order tocontribute in overall growth of the company 1. Continuous interaction with the channel partners ( Multiple Branch Heads of the Bank) 2. Mapping all the key decision makers and
ensuring that the same information is shared with the RH/ZH 3. Aggressively downloading all the RnR activities running by the organisation. 4. Create Innovative ways to have Branch Activities to increase the customer penetration
Executes smooth function of the sales and otherprocesses in order to maximise business potential. 1. Communicate any process change or change in any rules and regulations by the help of different training module. 2. Ensure that actual sales and service aspects including sales calls, issuance and complaint handling are carried out without any blocksRelation Ship Management: Open Architecture 1. To Handle Bank customers requirements with the best services and products ranges 2. To be equipped with insurance and Bank Products knowledge To manage the relationship at all the levels to have the desire out-puts.Building new business opportunities within theallocated area/relationships in order to maximisethe productivity / Top Line 1. Identify innovative methods working with the relationship to enhance penetration of the database 2. FLS Review Mechanism to have 40% Activation with 2 Case / Active @ 50K ATS to be focused 3. Ensure Product Mix - Trad 50% : ULIP 40% : Term 10% 4. 15% Business More than TATA Provide inputs for new products & Sales Pitch, basis an in- depth understanding of Channel needs 5. Identify training needs for the in-house and channel partner team
Execute the right method of business acquisitionin order get the profitable mix for theorganisation 1. Scrutinise the business on regular basis and give the relevant information to superiors 2. Interact with the customers through welcome callsAchieve Persistency targets as per the companynorms so that renewals take place on time 1. Communicate with customers and 2. resolve queries as and when required to ensure that renewal takes place on time
5) Relationships (If Applicable)Internal Frequency Nature
Support Executive’s Daily To Log-in and receipting Policies.Trainers Monthly For arranging trainings for the team as well as for the relationships.HR As and When Required Mainly recruitments and man power related issues.Issuance Coordinator Daily To Ensure the policies are Issued on time.Client Service As and When Required Service related issues.External Frequency Nature
Relationship Daily Business Development and to ensure the smooth sailing,",Sales / BD,6 to 9 Yrs," Sep 28, 2020
                                ",https://www.shine.com/jobs/deputymngr-hdfc-branch-banking/aditya-birla-management-corporation-pvt-ltd/11017671/
3,MINANSHIKA SOFTECH SOLUTION PRIVATE LIMITED,Work at Home  (Computer & Manual Based Data Entry),Rs 1.5  - 4.5 Lakh/Yr,"Note :It is advised to all job seekers / freelancers that before contacting anyone for work from home jobs first verify whether so called companies have Corporate Identification Number and PAN & TAN No. that could be verified through


 
If no : Run Away
 



MINANASHIKA, a company registered under Ministry of Corporate Affairs - Government of India and having ISO, IAF, MSME, SSL Certificates and TAN & PAN Card in company's name, is hiring serious Data Entry Operators who work from home.Candidates must have their Laptop / Desktop at home. Candidates must have good knowledge of MS-Office like Word, Excel and Internet.We have professional mail id for providing jobs details & Offer letter. We dont use Gmail id.Call / Whatsapp our HR @ 9748378025 to apply for the post (Only serious candidates)  Job Details Post                    : Data Entry OperatorJob Type            : Work from Home / Full Time / Contractual JobVacancy             : 20Skill                   : MS Word, MS Excel & InternetTyping Speed    : 20 wpm to 30 wpmWorking Hours : Minimum 6 hrs. to 8 hrs. at homeWork Type        : Offline work but internet is req. for transferring data to us.Interview         : TelephonicTest                  :Typing Speed & AccuracyJob Training     : Online (Only for selected candidates)Projects to be worked on :1) Medical Content Writing2) Data Entry in Excel sheet3) Manual Writing Project4) USA EDU Survey Project5) Digital Parts Form Filling6) Data ProcessingInterested candidates Call / Whats-app @ 9748378025 their details in given formatName                                   :Contact No.                          :E-mail ID                              :City                                       :State                                     :Job                                        : Data Entry (Work From Home)Language Known                 :Laptop or Desktop at Home : Yes or No
Job Portal                             : Shine JobOrSend your resume keeping subject : Apply for Data Entry Job Work From HomeFor Details Visit our Websites : https://mshiss.com/freelancejobs.aspx Note :We dont claim that the job is very easy and it can be done by anyone spending only 2 hrs. to 3 hrs. daily with great income. We dont have any short cut high income policy. Beware: Some Companies and group of people are posting ads showing our company's project (Job) Demo or image like Excel Numeric, Manual Form Filling etc and using their whatsup no. for chatting for scamming people.Contact us for getting list of scam people and companies. ",Data Entry,0 to 4 Yrs," 14 Hours ago
                                ",https://www.shine.com/jobs/work-at-home-jobs-computer-manual-based-data-entry/minanshika-softech-solution-private-limited/11003811/
4,Excellence pro service,Urgent Hiring for Home Based Data Entry/ Form Filing/ Online Typing,Rs 2.0  - 6 Lakh/Yr,"Dear all candidates, We need friendly male/female candidates who have basic information of computer, passionate & willing to be successful with us. You may continue with your regular job & still work with us. No targets, no work pressure.We Provide Typing Jobs & Work - English Typing Work In Ms Word from where a serious user can earn good earning from his home. Earn Up to Rs 20,000 to Rs 50,000/month depends on your typing speed and how serious you work.Anyone above the age of 18 can join our work. Work provided with Legal Agreement and after providing you all terms and conditions.Support provided at the time of work.Payment Mode: as per project payment.For more details contact us on-7408658157(HR.HIMANSHI) or WHATS APP your name to the same number we will send you the complete details as soon as possible regarding this jobRegards,HR.HIMANSHI-7408658157",Data Entry,0 to 2 Yrs," 8 Hours ago
                                ",https://www.shine.com/jobs/urgent-hiring-for-home-based-data-entry-form-filing-online-typing/excellence-pro-service/11066737/
5,Rajulu Laxman Narayan Hiring For Brown Tree Retail Pvt Ltd,Housekeeping cooker,Rs 1.5  - 3.5 Lakh/Yr,Cook Job Purpose:Prepares food for clients. Helps devise new methods of cooking and new menu items. Streamlines work from back of house to front of house.Cook Job Duties:,Housekeeping,0 to 1 Yr," 10 Hours ago
                                ",https://www.shine.com/jobs/housekeeping-cooker/rajulu-laxman-narayan/11066441/
6,Royal Air Placement,"Ground Handling,Reservation & Ticketing Office,Counter Executive",Rs 3.0  - 6 Lakh/Yr,"Dear Candidate,Greeting for the day!We are Hiring for the jobs for the position of Air Ticketing / Ground Staff / Cabin Crew / Maintenance EngineerKey ResponsibilitiesWelcome passengers on board and directing them to their seats.Providing Information and safety procedures to the passengers Checking all seat belts and galleys are secure prior to take-off.Making announcements on behalf of the pilot and answering questions during the flightServing meals and refreshments;Selling duty-free goods and advising passengers of any allowance restrictions in force at their destination;Reassuring passengers and ensuring that they follow safety procedures correctly in emergency situations.Providing first aid facilityTicketing and maintenanceTechnical helpSKILLS*Strong verbal communication skills*Excellent PersonalityInterview Timings:- 10 am to 6 pm Qualification: Any Under Grad/Graduated(Freshers)POSITION:- Air Ticketing / Ground Staff / Cabin Crew / technical  SALARY:- 25K TO 35K + CAB + MEALSADVANTAGES:- 1. OPPORTUNITY TO JOIN THE FASTEST GROWING ORGANIZATION.2. AFTER COMPLETING 15-18 MONTHS YOU CAN APPLY IN ANY RESPECTIVE DEPT RELATED TO YOUR FIELD.3. LUCRATIVE PACKAGES.other detailsDepartment:Airport / Airline /Ground Staff / Cabin CrewIndustry:Aviation / AirlineRegards",Airport / Airline Ground Operations,0 to 4 Yrs," 11 Hours ago
                                ",https://www.shine.com/jobs/ground-handlingreservation-ticketing-officecounter-executive/royal-air-placement/10873822/
7,R C Consultancy Hiring For Banking,Relationship Manager Corporate Banking,Rs 2.0  - 6 Lakh/Yr,"Dear Candidate,
 
 
 
Greetings from Banking !!
 
 
 
We are hiring for the role of ""Relationship Manager"". Interested candidates can send in their updated resume for the rounds of discussion.
 
 
 
Job Title - Relationship Officer/Manager
 
Experience - 1- 4 Years
 
Location - All India
 
 
 
Job description :-
 
1. Work on assigned leads (Lead will be provided)
 
2. Achieve sales targets as assigned by the organization month-on-month basis.
 
3. Cross sell and up sell Exide Life Insurance products based on the life cycle needs of the customers and as defined by the organization.
 
4. Meeting the customers to solicit insurance products based on appointments in the course of daily activities.
 
5. Ensure that a comprehensive financial need analysis of customers is done and provide insurance solutions based on analysis.
 
6. Strict adherence to organizations policies and processes.
 
7. Provide accurate forecasts, updates and requested reports to reporting manager.
 
 
 
Criteria or Eligibility:
 
1. Must be locally belonging or local experience required.
 
2. Must be a Graduate/ Any Graduate required.
 
3. Age - 21 to 30 age .
 
4. Freshers are also welcome / young ,presentable can also eligible
 
5. If experience then at least 1 year sales /Insurance experience required .
 
6. Self-motivated / Good communication skill and presentable candidate required.
 
7.Huge incentives
 
8. Global Trips Family Vouchers and many more.
 
 
 
Regards,
 
HR.
 
",Finance / Accounts / Tax,0 to 4 Yrs," 11 Hours ago
                                ",https://www.shine.com/jobs/relationship-manager-corporate-banking/r-c-consultancy/11066308/
8,R C Consultancy,"Assistant Manager, Accounts Clerk, Back Office Operations",Rs 1.0  - 4.0 Lakh/Yr,"Dear Candidates, Urgent Hiring in Banking sector:Post - Accounts, Finance & Back Office OperationsFinance :Candidate should handle all related activities a They have to look after budgeting and funds.Graduate MandatoryDirect Payroll JobSalary - 19k to 49klocation Pan IndiaBank Operations Manager is an individual who carries out administrative and accounting duties in a financial institution by organizing and coordinating banking services.His/her job description involves managing his/her banks' operations team to deliver effective financial services to clients.He/she is responsible for ensuring outstanding customer relations and high sales, as well as imbibing the banks service culture in all staff members through personal coaching and granting of bonuses and other incentives to motivate staff.In order to achieve best results in due time, operations managers need to delegate dutyoperations, business development, management, sales, customer service,""Bank Operations"",""Core Banking"",""Retail Banking"",""Term Deposits"",""Banking Retail Finance"",""Financial Accounting"",""Financial Analyst"", Accounting,""Income Tax"",""Sales Tax""s to various team members, giving them specific tasks to accomplish for the overall success of banking operations.The role of the operations manager in a banking environment also involves carrying out an assessment of the activities and performances of the banking staff by evaluating transaction reports and accounts balance for accuracy and clarity.Graduate MandatoryDirect Payroll JobSalary - 30k to 65klocation Pan IndiaAccountantSummarizes current financial status by collecting information; preparing balance sheet, profit and loss statement, and other reports. Substantiates financial transactions by auditing documents. Maintaningaccountingcontrols by preparing and recommending policies and procedures.Graduate MandatoryDirect Payroll JobSalary - 20k to 55klocation-Pan IndiaFresher & Experienced Both can apply/ Experience ( 0-2yrs )This is an ON ROLL position with one of India`s largest banks in private sector.Good opportunity for Graduate Fresher candidate to start their career with Banking Sector.For any clarifications or to clear about job, feel free to call at:-For any clarifications or to clear about job, feel free to call at:-For any clarifications or to clear about job, feel free to call at:- 7834826169HR.-KAJAL SHARMAMOB.-7834826169EMAIL - Rajeshch3883@gmail.comThanks Regards",Finance / Accounts / Tax,0 to 4 Yrs," 12 Hours ago
                                ",https://www.shine.com/jobs/assistant-manager-accounts-clerk-back-office-operations/r-c-consultancy/11066288/
9,TECHNOS DATA SOLUTION,FULL TIME PART TIME TYPING WORK DATA ENTRY WORK COMPUTER,Rs 2.0  - 6 Lakh/Yr,"HELLO DEAR CANDIDATE PART TIME JOBS IN CHENNAI FOR MALE (OR) FEMALE (OR) FRESHERS (OR) STUDENTS.We are into data entry field and we are hiring freelancers and other candidates who are really interested to make good income by working from their home to & interested candidate who can work from home to complete the given work on time with out fail.candidates or freelancers should have their own laptop / desktop to work on the given project, candidates or freelancers must know English knowledge and must have basic computer knowledge you can work on flexible timing according to your convenience but should complete the work on time.We are seeking for both freshers & experienced data entry operators who actually strive hard and work to make good income irrespective of their other source of income.JOB TYPE :- WORK FROM HOME | FULL TIME | PART TIME .Qualifications-12th PassMinimum Experience : 0 yearsMaximum Experience : 3 yearscall for more details contact to:Interested candidates kindly contact at - 9984008868(hr. KHUSHI )thanks,HR.  KHUSHI ( 9984008868)  ",Data Entry,0 to 3 Yrs," 13 Hours ago
                                ",https://www.shine.com/jobs/full-time-part-time-typing-work-data-entry-work-computer/technos-data-solution/11066009/
