,Job Role,posted_date,Company name,site
0,Marketing Manager,2020-02-11,UPSKILL INNOVATIVE SOLUTIONS PRIVATE LIMITED,technopark.org
1,Flutter Developer,2020-02-11,3MBK Technologies Private Limted,technopark.org
2,AI Engineer,2020-02-11,Innovation Incubator Advisory Pvt. Ltd.,technopark.org
3,Graphic Designer,2020-02-11,bMuse India Technologies Pvt Ltd,technopark.org
4,Web Developer,2020-02-11,Analyse Digital Business Solutions Pvt Ltd,technopark.org
5,Product Operations Specialist,2020-02-11,NeedStreet Web Technologies Pvt Ltd,technopark.org
6,ServiceNow Certified Application Developer,2020-02-11,Mozanta Technologies Private Limited,technopark.org
7,Azure Power BI Developer,2020-02-11,Mozanta Technologies Private Limited,technopark.org
8,Software Engineer: Database Technologies,2020-02-11,Standout IT Solutions(P) Ltd.,technopark.org
9,UI Developer,2020-02-11,Mozanta Technologies Private Limited,technopark.org
10,Technical Architect,2020-02-11,Mozanta Technologies Private Limited,technopark.org
11,Full Stack Developer,2020-02-11,Mozanta Technologies Private Limited,technopark.org
12,Customer Care Executives- Sales,2020-01-11,OrisysIndia Consultancy Services LLP,technopark.org
13,Drupal Developer,2020-01-11,Green Orchid Software Solutions Pvt Ltd,technopark.org
14,React Native Developer,2020-01-11,Green Orchid Software Solutions Pvt Ltd,technopark.org
15,Sr. Backend Developer - Laravel,2020-10-31,SUBDINE SOLUTIONS PVT LTD,technopark.org
16,2D Digital Animator,2020-10-31,Toonz Animation India PVT LTD,technopark.org
17,Head - Production,2020-10-31,Toonz Animation India PVT LTD,technopark.org
18,Sr. Frontend Engineer - Angular,2020-10-31,SUBDINE SOLUTIONS PVT LTD,technopark.org
19,Automation Tester (Experienced in JavaScript),2020-10-31,Reflections Info Systems Pvt Ltd,technopark.org
20,Scrum Master,2020-10-31,Reflections Info Systems Pvt Ltd,technopark.org
21,Senior Java Developer,2020-10-31,Reflections Info Systems Pvt Ltd,technopark.org
22,Practice Head Quality Assurance,2020-10-31,Reflections Info Systems Pvt Ltd,technopark.org
23,Account Manager,2020-10-31,Reflections Info Systems Pvt Ltd,technopark.org
24,Junior DevOps Engineer,2020-10-31,Reflections Info Systems Pvt Ltd,technopark.org
25,Dotnet Developer,2020-10-31,Reflections Info Systems Pvt Ltd,technopark.org
26,Project Manager,2020-10-31,Reflections Info Systems Pvt Ltd,technopark.org
27,Lead UX Designer,2020-10-31,Reflections Info Systems Pvt Ltd,technopark.org
28,Business Analyst (Banking Domain),2020-10-31,Reflections Info Systems Pvt Ltd,technopark.org
29,Performance Tester with JUnit,2020-10-31,Reflections Info Systems Pvt Ltd,technopark.org
30,Java Developers SDET,2020-10-31,Reflections Info Systems Pvt Ltd,technopark.org
31,"UI SDET with React, Node and HTML",2020-10-31,Reflections Info Systems Pvt Ltd,technopark.org
32,Junior Python Developer,2020-10-30,Hiworth Solutions (P)Ltd,technopark.org
33,Digital Marketing Manager,2020-10-30,Analyse Digital Business Solutions Pvt Ltd,technopark.org
34,HTML Developer,2020-10-30,Azinova Technologies Pvt Ltd,technopark.org
35,Software Tester - Code Level,2020-10-30,iBoson Innovations Pvt. Ltd,technopark.org
