,Company Name,Job Role,Salary,Job Decription,Required Exp,posted_date
0,BP Incorporate,urgent opening for HR PARTNER,Rs 0.60 - 50.60 Lacs p.a.,"Freelancer/Franchisee HR PARTNER, desired candidature is as follows:Experience: 0 - 20 YearsEarning and Incentives: At par with the best in the IndustryJob Location: Pan India...",13 - 18 yrs,2020-11-02
1,BP Incorporate,urgent opening placement officer anywhere in india,Rs 0.60 - 20.60 Lacs p.a.,internal project outsource Recruitment of suitable freelancer candidates like sales /counselor/telemarketing/recruiter/franchisee from lead and excel data provided by us . pro...,1 - 6 yrs,2020-11-02
2,BP Incorporate,urgent opening project manager placement services,Rs 0.60 - 20.60 Lacs p.a.,"provide placement service to candidates by enrollment.for the projects, as we provide you full assistance while you are starting off and on later stages also. Moreover, we are...",7 - 12 yrs,2020-11-02
3,BP Incorporate,"M.C.A., M.B.A., M.Sc., B.Tech.B.Tech(CSE, ECE, EE & ME)",Rs 1.50 - 30.00 Lacs p.a.,"Rolemechanical/electrical/electronics -production/quality/sales Min. 0-30 Years, Fresh Graduates can also be consideredAll fresher welcome  (M.C.A., M.B.A., M.Sc., B.Tech., B....",7 - 12 yrs,2020-11-02
4,Novature Tech,SAP Security,NA,"Create and maintain user Roles and Authorization profiles (PFCG).Maintain users and roles in SAP ECC.Design, implement and maintain appropriate security throughout the SAP lan...",4 - 6 yrs,2020-11-02
5,BP Incorporate,freelancer account manager or account head -revenue generation,Rs 5.00 - 50.50 Lacs p.a.,account manager or sales franchisee HEAD REQUIREMENTS onspot offer call 7291078357 pinnacle franchisee ECOMMERCE store 250+ online ecommerce brand RESPONSIBLE FOR account SALE...,1 - 6 yrs,2020-11-02
6,TECHNOPARK TRIVANDRUM,Drupal Developer,NA,hr@greenorchidsolutions.comBrief description :We are looking for a Drupal Developer who is strong having experience in working with Drupal version 7 and 8.JOB CODE: DD/11/03Pr...,0 - 3 yrs,2020-11-02
7,TECHNOPARK TRIVANDRUM,Senior iOS Developer,NA,Q-Dev Engine looking for high quality senior developers. Desire innovative thinkers interested in working on highly creative and challenging software development projects. Ple...,7 - 12 yrs,2020-11-02
8,TECHNOPARK TRIVANDRUM,Senior Test Engineer,NA,Brief description :Q-Dev Engine looking for high quality senior software Test Engineers. Desire innovative thinkers interested in working on highly creative and challenging so...,6 - 10 yrs,2020-11-02
9,TECHNOPARK TRIVANDRUM,Senior PHP Developers,NA,Q-Dev Engine looking for high quality Senior PHP Developers. Desire innovative thinkers interested in working on highly creative and challenging software development projects....,9 - 15 yrs,2020-11-02
10,TECHNOPARK TRIVANDRUM,Social Media Executive cum Content Writer,NA,Responsibilities Must have absolute command over English language (written and oral) Should able to handle various social media accounts and updates on daily basis in Facebook...,0 - 3 yrs,2020-11-02
11,TECHNOPARK TRIVANDRUM,Java Developer,NA,"Solid programming experience with Java 11, Spring Boot 2.2, Spring Data JPA(Hibernate), Spring Security, Spring cloud,RESTful Webservices.Very Strong in Core Java (Collections...",0 - 3 yrs,2020-11-02
12,TECHNOPARK TRIVANDRUM,Front-End Developer,NA,Brief description :We iBoson Innovations is a Software product company focusing on deep technologies. We are looking for Front-End Developers to join our high spirited and ent...,2 - 4 yrs,2020-11-02
13,TECHNOPARK TRIVANDRUM,Python Developer,NA,"We are looking for python developers to join our engineering team and be responsible for creating dynamic software products.Responsible for,Writing reusable code in the python...",2 - 5 yrs,2020-11-02
14,TECHNOPARK TRIVANDRUM,JS Developer,NA,Brief description :We are looking for candidates who are thoroughly versed in web development languages and application programming languages. If you are looking forward to gr...,0 - 3 yrs,2020-11-02
15,TECHNOPARK TRIVANDRUM,Digital Marketing Executive,NA,"Brief description :We are looking for a Digital Marketing Executive to work with our team who will be responsible for supplying good content for the website, engaging people t...",3 - 6 yrs,2020-11-02
16,TECHNOPARK TRIVANDRUM,Sales Development Representative - SaaS,NA,"Brief description :iBoson Innovations is looking for results-driven sales professionals. The ideal candidate will be responsible for revenue growth, and customer acquisition.R...",0 - 3 yrs,2020-11-02
17,TECHNOPARK TRIVANDRUM,Software Tester - Code Level,NA,iBoson Innovations is looking for a code-level tester whose ongoing goal is to reduce the number of bugs in software applications and identify as many as possible mistakes.Job...,0 - 3 yrs,2020-11-02
18,TECHNOPARK TRIVANDRUM,HTML Developer,NA,Brief description :Meet web designers to discuss project design and layout.Code entire HTML site from end to end.Debug code and front-end web applications.Ensure cross-platfor...,3 - 6 yrs,2020-11-02
19,TECHNOPARK TRIVANDRUM,Digital Marketing Manager,NA,"Brief description :Planning and developing digital marketing strategies and campaigns for clients.Managing clients in the International Markets (the US, Europe, Middle East et...",5 - 8 yrs,2020-11-02
20,TECHNOPARK TRIVANDRUM,Junior Python Developer,NA,1. 6 months to 1 year of python experience.2. Must able to understand the requirements and convert them into plan and prototype.3. Must be supportive with the team during the ...,1 - 4 yrs,2020-11-02
21,TECHNOPARK TRIVANDRUM,"UI SDET with React, Node and HTML",NA,Brief description :We are looking for 4 -8 Years experienced UI SDET ResourcesResponsibilities Engage in continuous automated and manual testing activity throughout agile deve...,4 - 8 yrs,2020-11-02
22,TECHNOPARK TRIVANDRUM,Java Developers SDET,NA,"Overview:We are looking for 4 -8 Years experienced Java SDET Resources.ResponsibilitiesDeveloping, implementing, and sustaining test automation processes, practices, and contr...",4 - 8 yrs,2020-11-02
23,TECHNOPARK TRIVANDRUM,Performance Tester with JUnit,NA,"Overview:5  years of relevant work experience in PERFORMANCE testing of web, mobile and enterprise applications.Understand Objectives of Performance Testing and convert into a...",5 - 8 yrs,2020-11-02
24,TECHNOPARK TRIVANDRUM,Business Analyst (Banking Domain),NA,Brief description :4  Years experienced Business Analyst who has exposure in Banking DomainCandidate should have good logical and analytical skillsPreferred skills4  Years exp...,4 - 7 yrs,2020-11-02
25,TECHNOPARK TRIVANDRUM,Lead UX Designer,NA,"Brief description :Looking for 8  years of experience as a User Experience Lead, Researcher, UX designer, Information architect, Interaction designer or similar role Experienc...",8 - 11 yrs,2020-11-02
26,TECHNOPARK TRIVANDRUM,Project Manager,NA,Brief description :Looking for a Project Manager with 8  years of experience in project coordination/ management in an IT (software) company.Preferred skills8  years of experi...,8 - 11 yrs,2020-11-02
27,TECHNOPARK TRIVANDRUM,Dotnet Developer,NA,"Brief description :2-6 years experienced Dotnet with problem solving abilityPreferred skills- Proactive analysis, validation &amp; fixing of business technical issues- Str...",2 - 6 yrs,2020-11-02
28,TECHNOPARK TRIVANDRUM,Junior DevOps Engineer,NA,"Brief description :As part of the DevOps Practice, the individual will be designing, developing, maintaining and improving the build, release and deployment of enterprise appl...",2 - 4 yrs,2020-11-02
29,TECHNOPARK TRIVANDRUM,Account Manager,NA,"Brief description :Looking for an Account Manager, with 15 to 20 years, who will be responsible for driving excellence, accounts/ portfolio's planned revenue, profitability, a...",15 - 20 yrs,2020-11-02
30,TECHNOPARK TRIVANDRUM,Practice Head Quality Assurance,NA,"Brief description :We are looking for a 15  years experienced candidate.As an QA Practice Head, the candidate will be responsible for leading and directing the QA practices at...",15 - 18 yrs,2020-11-02
31,TECHNOPARK TRIVANDRUM,Senior Java Developer,NA,careers@reflectionsit.inBrief description :5  years experienced Senior Java Developer.Preferred skillsJava and Object-Oriented Design Development with recent experience in ent...,5 - 8 yrs,2020-11-02
32,TECHNOPARK TRIVANDRUM,Scrum Master,NA,"10  years experienced Scrum Master.As an Scrum Master, the candidate will be responsible for facilitating an agile team working under the scrum methodology. Scrum Master gets ...",10 - 13 yrs,2020-11-02
33,TECHNOPARK TRIVANDRUM,Automation Tester (Experienced in JavaScript),NA,"Brief description :performance testing, load balancing.Build scripts as necessary.scripts as necessary.Creating and maintaining Test Plans, Test Cases, Logging defects, Defect...",4 - 7 yrs,2020-11-02
